Physiographic Division,Physiographic Province,State,USGS Station No.,Site Name,Coordinates,,Drainage Area,, Bankfull Discharge,,Bankfull Width,,Bankfull Depth,,Bankfull Area,,Source
,,,,,Latitude,Longitude,mi2,km²,ft³/s,m³/s,ft,m,ft,m,ft²,m²,
Rocky Mountain System,Northern Rocky Mountains,Montana,12300400,Cayuse Creek near Trego,48.609128,-115.029327,5.29,13.70,17.00,0.48,8.90,2.71,0.53,0.16,4.60,0.43,Lawlor 2004
Rocky Mountain System,Northern Rocky Mountains,Montana,12300500,Fortine Creek near Trego,48.6440111,-114.9111889,110.00,284.90,,,29.00,8.84,3.00,0.91,,,Parrett et al. 1983
Rocky Mountain System,Northern Rocky Mountains,Montana,12300800,Deep Creek near Fortine,48.761076,-114.890992,18.90,48.95,73.00,2.07,14.00,4.27,1.60,0.49,22.20,2.06,Lawlor 2004
Rocky Mountain System,Northern Rocky Mountains,Montana,12301300,Tobacco River near Eureka,48.89357557,-115.0879459,440.00,1139.59,,,58.00,17.68,4.70,1.43,,,Parrett et al. 1983
Rocky Mountain System,Northern Rocky Mountains,Montana,12301997,Richards Creek near Libby,48.258568,-115.200159,9.50,24.60,13.00,0.37,8.70,2.65,0.63,0.19,5.40,0.50,Lawlor 2004
Rocky Mountain System,Northern Rocky Mountains,Montana,12301999,Wolf Creek near Libby,48.233567,-115.284884,216.00,559.44,617.00,17.47,34.00,10.36,1.50,0.46,50.90,4.73,Lawlor 2004
Rocky Mountain System,Northern Rocky Mountains,Montana,12302055,Fisher River near Libby,48.35551229,-115.3148849,838.00,2170.41,,,130.00,39.62,6.00,1.83,,,Parrett et al. 1983
Rocky Mountain System,Northern Rocky Mountains,Montana,12302400,Shaughnessy Creek near Libby,48.303008,-115.594885,1.16,3.00,28.00,0.79,10.00,3.05,0.85,0.26,8.80,0.82,Lawlor 2004
Rocky Mountain System,Northern Rocky Mountains,Montana,12302500,Granite Creek near Libby,48.301897,-115.592385,23.60,61.12,260.00,7.36,34.00,10.36,1.90,0.58,61.60,5.72,Lawlor 2004
Rocky Mountain System,Northern Rocky Mountains,Montana,12303100,Flower Creek near Libby,48.344674,-115.606553,11.10,28.75,130.00,3.68,25.00,7.62,1.80,0.55,43.80,4.07,Lawlor 2004
Rocky Mountain System,Northern Rocky Mountains,Montana,12303500,Lake Creek at Troy,48.4468877,-115.8771155,210.00,543.90,,,78.00,23.77,4.30,1.31,,,Parrett et al. 1983
Rocky Mountain System,Northern Rocky Mountains,Montana,12304040,Basin Creek near Yaak,48.930237,-115.482126,27.40,70.97,191.00,5.41,30.00,9.14,2.20,0.67,64.20,5.96,Lawlor 2004
Rocky Mountain System,Northern Rocky Mountains,Montana,12304060,Blacktail Creek near Yaak,48.950792,-115.541850,8.66,22.43,80.00,2.27,21.00,6.40,1.20,0.37,24.60,2.29,Lawlor 2004
Rocky Mountain System,Northern Rocky Mountains,Montana,12304120,Zulu Creek near Yaak,48.730230,-115.642679,5.27,13.65,44.00,1.25,14.00,4.27,0.94,0.29,12.70,1.18,Lawlor 2004
Rocky Mountain System,Northern Rocky Mountains,Montana,12304250,Whitetail Creek near Yaak,48.8285622,-115.8137971,2.48,6.42,,,17.00,5.18,2.00,0.61,,,Parrett et al. 1983
Rocky Mountain System,Northern Rocky Mountains,Montana,12304300,Cyclone Creek near Yaak,48.7502243,-115.9026867,5.73,14.84,,,22.00,6.71,2.70,0.82,,,Parrett et al. 1983
Rocky Mountain System,Northern Rocky Mountains,Montana,12304400,Fourth of July Creek near Yaak,48.7010577,-115.8687942,7.84,20.31,,,21.00,6.40,2.80,0.85,,,Parrett et al. 1983
Rocky Mountain System,Northern Rocky Mountains,Montana,12304500,Yaak River near Troy,48.56188667,-115.9701799,766.00,1983.93,,,176.00,53.64,6.40,1.95,,,Parrett et al. 1983
Rocky Mountain System,Northern Rocky Mountains,Montana,12323300,Smith Gulch near Silverbow,45.9568702,-112.663639,4.36,11.29,,,5.50,1.68,0.50,0.15,,,Parrett et al. 1983
Rocky Mountain System,Northern Rocky Mountains,Montana,12324100,"Racetrack Creek below Granite Creek, near Anaconda",46.278816,-112.919488,39.50,102.30,275.00,7.79,25.00,7.62,2.20,0.67,53.40,4.96,Lawlor 2004
Rocky Mountain System,Northern Rocky Mountains,Montana,12324590,Little Blackfoot River near Garrison,46.519651,-112.793376,407.00,1054.13,917.00,25.97,57.00,17.37,2.70,0.82,150.00,13.94,Lawlor 2004
Rocky Mountain System,Northern Rocky Mountains,Montana,12324700,Clark Fork tributary near Drummond,46.619653,-113.033945,4.61,11.94,60.00,1.70,8.90,2.71,0.39,0.12,3.50,0.33,Lawlor 2004
Rocky Mountain System,Northern Rocky Mountains,Montana,12324800,Morris Creek near Drummond,46.6654863,-113.0997829,12.60,32.63,,,5.00,1.52,1.40,0.43,,,Parrett et al. 1983
Rocky Mountain System,Northern Rocky Mountains,Montana,12325500,Flint Creek near Southern Cross,46.23298047,-113.2997833,52.60,136.23,,,18.00,5.49,1.10,0.34,,,Parrett et al. 1983
